	chunks	max	min	sd	sttr_100
EO_ACADEMIC_001	34.0	0.78	0.46	0.0696531197681	0.601176470588
EO_ACADEMIC_002	31.0	0.7	0.48	0.049928148165	0.593225806452
EO_ACADEMIC_003	34.0	0.72	0.46	0.0667828428332	0.584411764706
EO_ACADEMIC_004	35.0	0.74	0.53	0.0469267775261	0.644857142857
EO_ACADEMIC_005	32.0	0.67	0.45	0.0466107132937	0.5965625
EO_ACADEMIC_006	34.0	0.71	0.44	0.0546140912397	0.582352941176
EO_ACADEMIC_007	33.0	0.68	0.49	0.0428356673641	0.612121212121
EO_ACADEMIC_008	35.0	0.7	0.51	0.0423975355464	0.602857142857
EO_ACADEMIC_009	35.0	0.69	0.55	0.039719424128	0.617714285714
EO_ACADEMIC_010	35.0	0.71	0.45	0.056626236077	0.568571428571
EO_ESSAY_001	19.0	0.76	0.63	0.0391176930022	0.695263157895
EO_ESSAY_002	5.0	0.68	0.62	0.0203960780544	0.658
EO_ESSAY_003	6.0	0.66	0.62	0.0124721912892	0.643333333333
EO_ESSAY_004	10.0	0.77	0.67	0.0356230262611	0.699
EO_ESSAY_005	15.0	0.75	0.53	0.0604942605175	0.650666666667
EO_ESSAY_006	9.0	0.75	0.65	0.0331476308671	0.688888888889
EO_ESSAY_007	13.0	0.79	0.66	0.0407329301381	0.711538461538
EO_ESSAY_008	15.0	0.77	0.57	0.0565528268279	0.681333333333
EO_ESSAY_009	7.0	0.83	0.68	0.0462468973035	0.744285714286
EO_ESSAY_010	7.0	0.78	0.66	0.0402542937246	0.712857142857
EO_ESSAY_011	9.0	0.74	0.64	0.0301027048537	0.682222222222
EO_ESSAY_012	8.0	0.83	0.65	0.0509748712603	0.71625
EO_ESSAY_013	7.0	0.77	0.65	0.0335638289271	0.708571428571
EO_ESSAY_014	7.0	0.8	0.68	0.0395897327444	0.735714285714
EO_ESSAY_015	21.0	0.77	0.58	0.0465596440441	0.698095238095
EO_ESSAY_016	9.0	0.77	0.67	0.0349955905512	0.714444444444
EO_ESSAY_017	9.0	0.8	0.58	0.0642910050733	0.71
EO_ESSAY_018	10.0	0.77	0.61	0.0498898787331	0.721
EO_ESSAY_019	16.0	0.75	0.64	0.027613402543	0.705
EO_ESSAY_020	16.0	0.75	0.63	0.0396665791316	0.68375
EO_ESSAY_021	9.0	0.8	0.65	0.0421929723246	0.705555555556
EO_ESSAY_022	10.0	0.76	0.62	0.0384837628098	0.717
EO_ESSAY_023	9.0	0.79	0.67	0.0380058475033	0.72
EO_ESSAY_024	7.0	0.73	0.62	0.0375798469656	0.661428571429
EO_ESSAY_025	9.0	0.78	0.68	0.0336650164612	0.733333333333
EO_ESSAY_026	7.0	0.77	0.66	0.0399489470117	0.715714285714
